Date,realized_volatility,garch_prediction
2010-02-03,0.1647892552821983,0.1664314268594935
2010-02-04,0.1935959927302509,0.1612334953881864
2010-02-05,0.1939908742360648,0.31826730207506165
2010-02-08,0.1926435599003564,0.29108292031911714
2010-02-09,0.199285651474558,0.2749681356140162
2010-02-10,0.19865764732752,0.2518402612755535
2010-02-11,0.2028384587778749,0.23187975197216215
2010-02-12,0.199138813792842,0.21285898384939517
2010-02-16,0.2084505105116112,0.19600785763756942
2010-02-17,0.2070312591392047,0.18049267072354586
2010-02-18,0.2027105584525526,0.16653045395562224
2010-02-19,0.2007002825692318,0.15399198395591857
2010-02-22,0.1894070729011496,0.14275884229099817
2010-02-23,0.1770558373984774,0.13274203906467702
2010-02-24,0.1789942890526412,0.16689878726840096
2010-02-25,0.1783326419104111,0.15432238476970633
2010-02-26,0.1776927894087954,0.14393157482265836
2010-03-01,0.175323807606705,0.13376857759436359
2010-03-02,0.1694777799882537,0.12471208454817662
2010-03-03,0.1623885448958151,0.11666799532332535
2010-03-04,0.1578898267224533,0.10954858433752407
2010-03-05,0.1626806038916343,0.10327167704864312
2010-03-08,0.109504143190767,0.09775999193074889
2010-03-09,0.109574083774995,0.0929701997992479
2010-03-10,0.1025763522594785,0.08877057819567803
2010-03-11,0.0977597986467268,0.08513015972349387
2010-03-12,0.0965628875823204,0.08198806619757254
2010-03-15,0.0939325227816404,0.0793489416378734
2010-03-16,0.094175041009191,0.07704462623685136
2010-03-17,0.0839647094723261,0.07506270998515696
2010-03-18,0.0846375466048777,0.07337820607203883
2010-03-19,0.0881186462231694,0.07244263703914802
2010-03-22,0.0887243714627454,0.08626249446346788
2010-03-23,0.0896470681871408,0.08296395332456077
2010-03-24,0.0768277220209593,0.08012501639451539
2010-03-25,0.0752729916859036,0.09076329316768658
2010-03-26,0.0748133353684857,0.08875841094056047
2010-03-29,0.0754545419186,0.0856155592628053
2010-03-30,0.0708128349348956,0.08240623594720951
